,MSZoning,LotFrontage,LotArea,Street,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,BldgType,OverallQual,OverallCond,RoofStyle,RoofMatl,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageFinish,GarageCars,GarageArea,PavedDrive,WoodDeckSF,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice,Pool,GarageQuality,HouseAge,GarageAge,Remodel,TotalBath,WeightTotalBsmtSF,TotalPorchSF,Condition2Renew,PUD,SFoyer,Floor,Finish,SLvl,ExteriorBin,Interest,Qrtr,ATNHPIUS11180Q,SalePriceAd
0,3,65.0,8450,Pave,3,Lvl,AllPub,Inside,0,CollgCr,Norm,1Fam,7,5,Gable,CompShg,BrkFace,196.0,4,3,PConc,4,3,1,6,706,1,0,150,856,GasA,5,1,SBrkr,856,854,0,1710,3,1,4,8,5,0,0,Attchd,2,2,548,Y,0,0,0,None,None,0,2,2008,WD,Normal,208500,0,3.0,5,5.0,1,3.5,4386,61,0,0,0,2.0,1,0,1.0,2.980689655172414,1,169.12,123285.2412488174
1,3,80.0,9600,Pave,3,Lvl,AllPub,FR2,0,Veenker,Feedr,1Fam,6,8,Gable,CompShg,None,0.0,3,3,CBlock,4,3,4,5,978,1,0,284,1262,GasA,5,1,SBrkr,1262,0,0,1262,3,1,3,6,5,1,3,Attchd,2,2,460,Y,298,0,0,None,None,0,5,2007,WD,Normal,181500,0,3.0,31,31.0,1,2.5,5174,0,1,0,0,1.0,1,0,0.5,5.253548387096773,2,168.01,108029.2839711922
2,3,68.0,11250,Pave,2,Lvl,AllPub,Inside,0,CollgCr,Norm,1Fam,7,5,Gable,CompShg,BrkFace,162.0,4,3,PConc,4,3,2,6,486,1,0,434,920,GasA,5,1,SBrkr,920,866,0,1786,3,1,4,6,5,1,3,Attchd,2,2,608,Y,0,0,0,None,None,0,9,2008,WD,Normal,223500,0,3.0,6,7.0,1,3.5,3350,42,0,0,0,2.0,1,0,1.0,1.811666666666666,3,166.24,134444.177093359
3,3,60.0,9550,Pave,2,Lvl,AllPub,Corner,0,Crawfor,Norm,1Fam,7,5,Gable,CompShg,None,0.0,3,3,BrkTil,3,4,1,5,216,1,0,540,756,GasA,4,1,SBrkr,961,756,0,1717,3,1,4,7,5,1,4,Detchd,1,3,642,Y,0,0,0,None,None,0,2,2006,WD,Abnorml,140000,0,3.0,36,8.0,1,2.0,1620,307,0,0,0,2.0,1,0,0.5,4.491428571428572,1,162.69,86053.23006945725
4,3,84.0,14260,Pave,2,Lvl,AllPub,FR2,0,NoRidge,Norm,1Fam,8,5,Gable,CompShg,BrkFace,350.0,4,3,PConc,4,3,3,6,655,1,0,490,1145,GasA,5,1,SBrkr,1145,1053,0,2198,4,1,4,9,5,1,3,Attchd,2,3,836,Y,192,0,0,None,None,0,12,2008,WD,Normal,250000,0,3.0,8,8.0,1,3.5,4420,84,0,0,0,2.0,1,0,1.0,0.1551612903225806,4,166.91,149781.31927386016
5,3,85.0,14115,Pave,2,Lvl,AllPub,Inside,0,Mitchel,Norm,1Fam,5,5,Gable,CompShg,None,0.0,3,3,Wood,4,3,1,6,732,1,0,64,796,GasA,5,1,SBrkr,796,566,0,1362,1,1,3,5,5,0,0,Attchd,1,2,480,Y,40,0,0,MnPrv,Shed,700,10,2009,WD,Normal,143000,0,3.0,14,16.0,1,2.5,4456,350,0,0,0,1.5,1,0,1.0,0.11806451612903225,4,167.06,85597.98874655811
6,3,75.0,10084,Pave,3,Lvl,AllPub,Inside,0,Somerst,Norm,1Fam,8,5,Gable,CompShg,Stone,186.0,4,3,PConc,5,3,3,6,1369,1,0,317,1686,GasA,5,1,SBrkr,1694,0,0,1694,3,1,4,7,5,1,4,Attchd,2,2,636,Y,255,0,0,None,None,0,8,2007,WD,Normal,307000,0,3.0,2,3.0,1,3.0,8531,57,0,0,0,1.0,1,0,1.0,5.022258064516129,3,167.17,183645.39091942334
7,3,0.0,10382,Pave,2,Lvl,AllPub,Corner,0,NWAmes,PosN,1Fam,7,6,Gable,CompShg,Stone,240.0,3,3,CBlock,4,3,2,5,859,4,32,216,1107,GasA,5,1,SBrkr,1107,983,0,2090,3,1,3,7,5,2,3,Attchd,2,2,484,Y,235,0,0,None,Shed,350,11,2009,WD,Normal,200000,0,3.0,36,36.0,1,3.5,4423,432,1,0,0,2.0,1,0,0.75,0.119,4,167.06,119717.46677840296
8,1,51.0,6120,Pave,3,Lvl,AllPub,Inside,0,OldTown,Artery,1Fam,7,5,Gable,CompShg,None,0.0,3,3,BrkTil,3,3,1,1,0,1,0,952,952,GasA,4,1,FuseF,1022,752,0,1774,2,2,3,8,4,2,3,Detchd,1,2,468,Y,90,0,0,None,None,0,4,2008,WD,Abnorml,129900,0,2.5,58,77.0,1,2.0,952,205,1,0,0,1.5,1,0,0.75,2.2783333333333338,2,166.88,77840.36433365292
9,3,50.0,7420,Pave,3,Lvl,AllPub,Corner,0,BrkSide,Artery,2fmCon,5,6,Gable,CompShg,None,0.0,3,3,BrkTil,3,3,1,6,851,1,0,140,991,GasA,5,1,SBrkr,1077,0,0,1077,2,2,3,5,5,2,3,Attchd,2,1,205,Y,0,0,0,None,None,0,1,2008,WD,Normal,118000,0,3.5,58,69.0,1,2.0,5246,4,0,0,0,1.5,0,0,0.5,3.940322580645162,1,169.12,69772.94228949858
