MSZoning,LotFrontage,LotArea,Street,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,BldgType,OverallQual,OverallCond,RoofStyle,RoofMatl,Exterior1st,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageFinish,GarageCars,GarageArea,PavedDrive,WoodDeckSF,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice,Pool,GarageQuality,HouseAge,GarageAge,Remodel,TotalBath,WeightTotalBsmtSF,TotalPorchSF,Condition2Renew,PUD,SFoyer,Floor,Finish,Slvl,Interest,Rank,Qrtr
3,65.0,8450,Pave,3,Lvl,AllPub,Inside,0,CollgCr,Norm,1Fam,7,5,Gable,CompShg,VinylSd,BrkFace,196.0,4,3,PConc,4,3,1,6,706,1,0,150,856,GasA,5,1,SBrkr,856,854,0,1710,3,1,4,8,5,0,0,Attchd,2,2,548,Y,0,0,0,None,None,0,2,2008,WD,Normal,208500,0,3.0,5,5.0,1,3.5,4386,61,0,0,0,2.0,1,0,2.9806896551724136,2.1258333333333335,1
3,80.0,9600,Pave,3,Lvl,AllPub,FR2,0,Veenker,Feedr,1Fam,6,8,Gable,CompShg,MetalSd,None,0.0,3,3,CBlock,4,3,4,5,978,1,0,284,1262,GasA,5,1,SBrkr,1262,0,0,1262,3,1,3,6,5,1,3,Attchd,2,2,460,Y,298,0,0,None,None,0,5,2007,WD,Normal,181500,0,3.0,31,31.0,1,2.5,5174,0,1,0,0,1.0,1,0,5.253548387096774,2.1258333333333335,2
3,68.0,11250,Pave,2,Lvl,AllPub,Inside,0,CollgCr,Norm,1Fam,7,5,Gable,CompShg,VinylSd,BrkFace,162.0,4,3,PConc,4,3,2,6,486,1,0,434,920,GasA,5,1,SBrkr,920,866,0,1786,3,1,4,6,5,1,3,Attchd,2,2,608,Y,0,0,0,None,None,0,9,2008,WD,Normal,223500,0,3.0,6,7.0,1,3.5,3350,42,0,0,0,2.0,1,0,1.8116666666666659,2.1258333333333335,3
3,60.0,9550,Pave,2,Lvl,AllPub,Corner,0,Crawfor,Norm,1Fam,7,5,Gable,CompShg,Wd Sdng,None,0.0,3,3,BrkTil,3,4,1,5,216,1,0,540,756,GasA,4,1,SBrkr,961,756,0,1717,3,1,4,7,5,1,4,Detchd,1,3,642,Y,0,0,0,None,None,0,2,2006,WD,Abnorml,140000,0,3.0,36,8.0,1,2.0,1620,307,0,0,0,2.0,1,0,4.491428571428573,2.1258333333333335,1
3,84.0,14260,Pave,2,Lvl,AllPub,FR2,0,NoRidge,Norm,1Fam,8,5,Gable,CompShg,VinylSd,BrkFace,350.0,4,3,PConc,4,3,3,6,655,1,0,490,1145,GasA,5,1,SBrkr,1145,1053,0,2198,4,1,4,9,5,1,3,Attchd,2,3,836,Y,192,0,0,None,None,0,12,2008,WD,Normal,250000,0,3.0,8,8.0,1,3.5,4420,84,0,0,0,2.0,1,0,0.1551612903225806,2.1258333333333335,4
3,85.0,14115,Pave,2,Lvl,AllPub,Inside,0,Mitchel,Norm,1Fam,5,5,Gable,CompShg,VinylSd,None,0.0,3,3,Wood,4,3,1,6,732,1,0,64,796,GasA,5,1,SBrkr,796,566,0,1362,1,1,3,5,5,0,0,Attchd,1,2,480,Y,40,0,0,MnPrv,Shed,700,10,2009,WD,Normal,143000,0,3.0,14,16.0,1,2.5,4456,350,0,0,0,1.5,1,0,0.11806451612903225,2.3333333333333335,4
3,75.0,10084,Pave,3,Lvl,AllPub,Inside,0,Somerst,Norm,1Fam,8,5,Gable,CompShg,VinylSd,Stone,186.0,4,3,PConc,5,3,3,6,1369,1,0,317,1686,GasA,5,1,SBrkr,1694,0,0,1694,3,1,4,7,5,1,4,Attchd,2,2,636,Y,255,0,0,None,None,0,8,2007,WD,Normal,307000,0,3.0,2,3.0,1,3.0,8531,57,0,0,0,1.0,1,0,5.022258064516129,2.1258333333333335,3
3,0.0,10382,Pave,2,Lvl,AllPub,Corner,0,NWAmes,PosN,1Fam,7,6,Gable,CompShg,HdBoard,Stone,240.0,3,3,CBlock,4,3,2,5,859,4,32,216,1107,GasA,5,1,SBrkr,1107,983,0,2090,3,1,3,7,5,2,3,Attchd,2,2,484,Y,235,0,0,None,Shed,350,11,2009,WD,Normal,200000,0,3.0,36,36.0,1,3.5,4423,432,1,0,0,2.0,1,0,0.11900000000000001,1.5,4
1,51.0,6120,Pave,3,Lvl,AllPub,Inside,0,OldTown,Artery,1Fam,7,5,Gable,CompShg,BrkFace,None,0.0,3,3,BrkTil,3,3,1,1,0,1,0,952,952,GasA,4,1,FuseF,1022,752,0,1774,2,2,3,8,4,2,3,Detchd,1,2,468,Y,90,0,0,None,None,0,4,2008,WD,Abnorml,129900,0,2.5,58,77.0,1,2.0,952,205,1,0,0,1.5,1,0,2.2783333333333338,2.1258333333333335,2
3,50.0,7420,Pave,3,Lvl,AllPub,Corner,0,BrkSide,Artery,2fmCon,5,6,Gable,CompShg,MetalSd,None,0.0,3,3,BrkTil,3,3,1,6,851,1,0,140,991,GasA,5,1,SBrkr,1077,0,0,1077,2,2,3,5,5,2,3,Attchd,2,1,205,Y,0,0,0,None,None,0,1,2008,WD,Normal,118000,0,3.5,58,69.0,1,2.0,5246,4,0,0,0,1.5,0,0,3.940322580645162,2.1258333333333335,1
3,70.0,11200,Pave,3,Lvl,AllPub,Inside,0,Sawyer,Norm,1Fam,5,5,Hip,CompShg,HdBoard,None,0.0,3,3,CBlock,3,3,1,3,906,1,0,134,1040,GasA,5,1,SBrkr,1040,0,0,1040,3,1,3,5,5,0,0,Detchd,1,1,384,Y,0,0,0,None,None,0,2,2008,WD,Normal,129500,0,3.0,43,43.0,1,2.0,2852,0,0,0,0,1.0,1,0,2.9806896551724136,2.3333333333333335,1
3,85.0,11924,Pave,2,Lvl,AllPub,Inside,0,NridgHt,Norm,1Fam,9,5,Hip,CompShg,WdShing,Stone,286.0,5,3,PConc,5,3,1,6,998,1,0,177,1175,GasA,5,1,SBrkr,1182,1142,0,2324,4,1,5,11,5,2,4,BuiltIn,3,3,736,Y,147,0,0,None,None,0,7,2006,New,Partial,345000,0,3.0,0,1.0,1,4.0,6165,21,0,0,0,2.0,1,0,5.235161290322582,2.1258333333333335,3
3,0.0,12968,Pave,1,Lvl,AllPub,Inside,0,Sawyer,Norm,1Fam,5,6,Hip,CompShg,HdBoard,None,0.0,3,3,CBlock,3,3,1,5,737,1,0,175,912,GasA,3,1,SBrkr,912,0,0,912,2,1,3,4,5,0,0,Detchd,1,1,352,Y,140,0,0,None,None,0,9,2008,WD,Normal,144000,0,3.0,46,46.0,1,2.0,3860,176,0,0,0,1.0,1,0,1.8116666666666659,2.3333333333333335,3
3,91.0,10652,Pave,2,Lvl,AllPub,Inside,0,CollgCr,Norm,1Fam,7,5,Gable,CompShg,VinylSd,Stone,306.0,4,3,PConc,4,3,3,1,0,1,0,1494,1494,GasA,5,1,SBrkr,1494,0,0,1494,3,1,4,7,5,1,4,Attchd,2,3,840,Y,160,0,0,None,None,0,8,2007,New,Partial,279500,0,3.0,0,1.0,1,2.0,1494,33,0,0,0,1.0,1,0,5.022258064516129,2.1258333333333335,3
3,0.0,10920,Pave,2,Lvl,AllPub,Corner,0,NAmes,Norm,1Fam,6,5,Hip,CompShg,MetalSd,BrkFace,212.0,3,3,CBlock,3,3,1,4,733,1,0,520,1253,GasA,3,1,SBrkr,1253,0,0,1253,2,1,3,5,5,1,2,Attchd,2,1,352,Y,0,0,0,GdWo,None,0,5,2008,WD,Normal,157000,0,3.0,48,48.0,1,2.5,3452,389,0,0,0,1.0,1,0,1.9783870967741928,2.6666666666666665,2
1,51.0,6120,Pave,3,Lvl,AllPub,Corner,0,BrkSide,Norm,1Fam,7,8,Gable,CompShg,Wd Sdng,None,0.0,3,3,BrkTil,3,3,1,1,0,1,0,832,832,GasA,5,1,FuseA,854,0,0,854,2,1,3,5,5,0,0,Detchd,1,2,576,Y,48,0,0,GdPrv,None,0,7,2007,WD,Normal,132000,0,3.0,6,16.0,1,1.0,832,112,0,0,0,1.5,0,0,5.258387096774194,2.1258333333333335,3
3,0.0,11241,Pave,2,Lvl,AllPub,CulDSac,0,NAmes,Norm,1Fam,6,7,Gable,CompShg,Wd Sdng,BrkFace,180.0,3,3,CBlock,3,3,1,5,578,1,0,426,1004,GasA,5,1,SBrkr,1004,0,0,1004,2,1,3,5,5,1,3,Attchd,3,2,480,Y,0,0,0,None,Shed,700,3,2010,WD,Normal,149000,0,3.0,40,40.0,1,2.0,3316,0,0,0,0,1.0,1,0,0.16451612903225812,2.6666666666666665,1
